idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9009428238715844	1	0.00023977062664926052	0.05259054899215698	0.6318518518518518	0:02:52.136406
1	1	1	0.9706873953208027	1	0.0010744213359430432	0.02806389331817627	0.6407407407407407	0:02:49.132615
2	1	1	0.6850481568911632	1	0.00023977062664926052	0.06725013256072998	0.6459259259259259	0:02:50.499413
3	1	-1	0.0	0	-1	-1	-1	0:02:49.575314
4	1	1	0.8747772955784598	1	0.006952094379812479	0.04038280248641968	0.637037037037037	0:02:50.436485
5	1	1	0.9220559067950918	1	0.026716426014900208	0.037231385707855225	0.6466666666666666	0:02:52.171898
6	1	1	0.981995087771437	1	0.12045866250991821	0.02342468500137329	0.64	0:02:45.280632
7	1	-1	0.0	0	-1	-1	-1	0:02:14.907665
8	1	1	0.98784772395791	1	0.12045866250991821	0.04578787088394165	0.6392592592592592	0:02:47.522482
9	1	1	0.7155060389978126	1	0.037203602492809296	0.05026531219482422	0.64	0:02:50.933669
10	1	1	0.9220559067950918	1	0.039509061723947525	0.0476040244102478	0.6385185185185185	0:02:50.437925
11	1	1	0.9167591411313873	1	0.0744885802268982	0.042370736598968506	0.6481481481481481	0:02:47.303174
12	1	1	0.9706873953208027	1	0.012084485031664371	0.02801692485809326	0.6525925925925926	0:02:48.551698
13	1	1	0.7664881127602234	1	0.009503462351858616	0.05915677547454834	0.6385185185185185	0:02:52.987023
14	1	1	0.7307702840061374	1	0.002746287500485778	0.06255835294723511	0.6325925925925926	0:02:43.005694
15	1	-1	0.0	0	-1	-1	-1	0:02:44.996545
16	1	1	0.6496235012449488	1	0.004423157777637243	0.06336778402328491	0.6444444444444444	0:02:43.458876
17	1	1	0.9220559067950918	1	0.09889128804206848	0.03708547353744507	0.6577777777777778	0:02:51.628958
18	1	1	0.8643654137080442	1	0.04840695485472679	0.042896568775177	0.6474074074074073	0:02:48.341141
19	1	1	0.9762936942379989	1	0.04570917785167694	0.03778386116027832	0.64	0:02:50.277465
20	1	1	0.98784772395791	1	0.061134178191423416	0.011321187019348145	0.654074074074074	0:02:49.826643
21	1	1	0.9434048969330311	1	0.10699228197336197	0.035182833671569824	0.6451851851851852	0:02:52.231590
22	1	1	0.7002657240964576	1	0.028701206669211388	0.060574233531951904	0.6348148148148148	0:02:49.185839
23	1	1	0.9326942443254674	1	0.010360135696828365	0.0401119589805603	0.64	0:02:47.587150
24	1	1	0.9542101785848814	1	0.01736757531762123	0.030478835105895996	0.6451851851851852	0:02:50.734992
25	1	1	0.9651480271584072	1	0.10699228197336197	0.035456836223602295	0.6333333333333333	0:02:52.074789
26	1	1	0.8487956620149258	1	0.008650078438222408	0.054038286209106445	0.6377777777777778	0:02:50.623125
27	1	-1	0.0	0	-1	-1	-1	0:02:40.166301
28	1	-1	0.0	0	-1	-1	-1	0:02:42.780998
29	1	-1	0.0	0	-1	-1	-1	0:02:19.123249
30	1	1	0.9651480271584072	1	0.021008837968111038	0.009824812412261963	0.6414814814814814	0:02:45.154576
31	1	1	0.879993930923735	1	0.01736757531762123	0.05712968111038208	0.6385185185185185	0:02:48.820234
32	1	1	0.9487938477798614	1	0.05275839567184448	0.03917050361633301	0.6303703703703704	0:02:44.040650
33	1	0	0.7511622513769364	0	0.01736757531762123	0.07557272911071777	0.6407407407407407	0:02:40.414829
34	1	1	0.8436173524411308	1	0.0238206684589386	0.05271798372268677	0.6392592592592592	0:02:45.317353
35	1	1	0.8852182717006383	1	0.00023977062664926052	0.04319041967391968	0.6392592592592592	0:02:42.522264
36	1	-1	0.0	0	-1	-1	-1	0:02:48.172900
37	1	1	0.981995087771437	1	0.09889128804206848	0.03221940994262695	0.6377777777777778	0:02:52.032235
38	1	-1	0.0	0	-1	-1	-1	0:00:18.667089
39	1	1	0.8332766365595924	1	0.012084485031664371	0.045282185077667236	0.6385185185185185	0:02:52.685524
40	1	1	0.5992028758865081	1	0.02287476696074009	0.04564940929412842	0.6407407407407407	0:02:49.290639
41	1	1	0.8178022114916583	1	0.04981321468949318	0.05385637283325195	0.6474074074074073	0:02:49.459780
42	1	1	0.7920980439157999	1	0.04840695485472679	0.05574125051498413	0.634074074074074	0:02:49.630290
43	1	-1	0.0	0	-1	-1	-1	0:00:09.379671
44	1	0	0.6042356106060606	0	0.002746287500485778	0.07352942228317261	0.6318518518518518	0:02:51.564039
45	1	1	0.8229557161093254	1	0.00023977062664926052	0.05462181568145752	0.6318518518518518	0:02:50.445324
46	1	-1	0.0	0	-1	-1	-1	0:00:01.654459
47	1	1	0.9651480271584072	1	0.016473691910505295	0.025926828384399414	0.634074074074074	0:02:42.843945
48	1	-1	0.0	0	-1	-1	-1	0:00:47.563376
49	1	-1	0.0	0	-1	-1	-1	0:00:18.684377
50	1	1	0.9542101785848814	1	0.008650078438222408	0.03860217332839966	0.6466666666666666	0:02:26.895536
51	1	1	0.9939982190557056	1	0.12045866250991821	0.021258950233459473	0.6377777777777778	0:02:28.203634
52	1	-1	0.0	0	-1	-1	-1	0:02:26.309355
53	1	1	0.8956921205202595	1	0.01917426660656929	0.042059123516082764	0.6355555555555555	0:02:32.656720
54	1	1	0.5891434218104666	1	0.012952751480042934	0.05404078960418701	0.6422222222222221	0:02:32.224216
55	1	0	0.8229557161093254	0	0.010360135696828365	0.07947206497192383	0.6333333333333333	0:02:31.011025
56	1	0	0.5590122330834316	0	0.004423157777637243	0.08356690406799316	0.64	0:02:27.515828
57	1	1	0.9114754332915996	1	0.018267637118697166	0.04232305288314819	0.6444444444444444	0:02:32.689340
58	1	1	0.9762936942379989	1	0.09291595220565796	0.03328746557235718	0.6444444444444444	0:02:32.684524
59	1	1	0.8643654137080442	1	0.029711848124861717	0.04924333095550537	0.6444444444444444	0:02:36.282485
