idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	0.7448858022689819	0.11224496364593506	0.7355555555555555	0:02:34.950497
1	1	1	0.9939982190557056	1	0.8404504656791687	0.09930646419525146	0.7303703703703703	0:02:36.819778
2	1	1	0.9939982190557056	1	0.9889128804206848	0.09580862522125244	0.7303703703703703	0:02:37.498144
3	1	1	0.9939982190557056	1	0.9889128804206848	0.09795290231704712	0.7251851851851852	0:02:33.948200
4	1	1	0.9939982190557056	1	1.2045866250991821	0.08619165420532227	0.734074074074074	0:02:37.586028
5	1	1	0.9939982190557056	1	1.2045866250991821	0.07045823335647583	0.7318518518518519	0:02:37.088469
6	1	1	0.9939982190557056	1	0.9889128804206848	0.11028802394866943	0.7288888888888888	0:02:38.723840
7	1	-1	0.0	0	-1	-1	-1	0:00:04.233931
8	1	1	0.9939982190557056	1	0.4069569706916809	0.11082345247268677	0.7251851851851852	0:02:40.319850
9	1	1	0.9939982190557056	1	0.5757838487625122	0.10000598430633545	0.7296296296296296	0:02:45.466651
10	1	1	0.9939982190557056	1	1.0699228048324585	0.09674596786499023	0.7303703703703703	0:02:44.691561
11	1	1	0.9939982190557056	1	0.39509060978889465	0.11769545078277588	0.7251851851851852	0:02:46.072608
12	1	-1	0.0	0	-1	-1	-1	0:00:20.405381
13	1	1	0.9939982190557056	1	1.2045866250991821	0.07936525344848633	0.7229629629629629	0:02:47.682597
14	1	1	0.9939982190557056	1	0.5931667685508728	0.11218404769897461	0.7259259259259259	0:02:48.141825
15	1	1	0.9939982190557056	1	1.2045866250991821	0.10116612911224365	0.7266666666666667	0:02:43.957467
16	1	1	0.9939982190557056	1	1.2045866250991821	0.0907321572303772	0.7333333333333333	0:02:44.151641
17	1	1	0.9939982190557056	1	1.2045866250991821	0.09128832817077637	0.7244444444444444	0:02:46.758403
18	1	1	0.9939982190557056	1	0.7734676599502563	0.10465306043624878	0.7281481481481481	0:02:56.917027
19	1	1	0.9939982190557056	1	0.7186811566352844	0.10180413722991943	0.731111111111111	0:02:37.207246
20	1	1	0.9939982190557056	1	0.5591061115264893	0.10688912868499756	0.7303703703703703	0:02:39.318466
21	1	1	0.9939982190557056	1	0.5275839567184448	0.09536111354827881	0.731111111111111	0:02:36.201236
22	1	1	0.9939982190557056	1	1.2045866250991821	0.06091254949569702	0.7281481481481481	0:02:37.082226
