idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557052	1	63.04127502441406	0.0	0.5451851851851851	0:02:02.526870
1	1	1	0.9939982190557052	1	74.48857879638672	3.731250762939453e-05	0.6303703703703704	0:02:02.391056
2	1	1	0.9939982190557052	1	69.4419174194336	6.136298179626465e-05	0.5437037037037037	0:02:02.275831
3	1	1	0.9939982190557052	1	45.70917892456055	7.891654968261719e-05	0.6266666666666666	0:02:02.182864
4	1	1	0.9939982190557052	1	51.26234436035156	0.00011670589447021484	0.5940740740740741	0:02:02.207978
5	1	1	0.9939982190557052	1	65.05059814453125	0.00019878149032592773	0.6266666666666666	0:02:01.993677
6	1	1	0.9939982190557052	1	74.48857879638672	6.395578384399414e-05	0.6133333333333333	0:02:01.924568
7	1	1	0.9939982190557052	1	65.05059814453125	0.00023853778839111328	0.6155555555555555	0:02:02.059602
8	1	1	0.9939982190557052	1	51.26234436035156	0.0	0.5607407407407408	0:02:04.552049
9	1	1	0.9939982190557052	1	63.04127502441406	0.0	0.6074074074074074	0:02:30.251902
10	1	1	0.9939982190557052	1	38.34553146362305	0.00011670589447021484	0.5807407407407407	0:02:31.580405
11	1	1	0.9939982190557052	1	63.04127502441406	0.0	0.6022222222222222	0:02:31.388657
12	1	1	0.9939982190557052	1	77.34676361083984	0.0	0.5511111111111111	0:02:31.263100
13	1	1	0.9939982190557052	1	30.735641479492188	0.00032657384872436523	0.6029629629629629	0:02:31.608232
14	1	1	0.9939982190557052	1	65.05059814453125	6.395578384399414e-05	0.5977777777777777	0:02:31.789485
15	1	1	0.9939982190557052	1	84.0450439453125	1.2516975402832031e-05	0.597037037037037	0:02:31.604488
16	1	1	0.9939982190557052	1	47.03998947143555	6.395578384399414e-05	0.6088888888888888	0:02:31.511810
17	1	1	0.9939982190557052	1	41.907100677490234	0.00013524293899536133	0.58	0:02:31.518220
18	1	1	0.9939982190557052	1	21.00883674621582	0.000213623046875	0.6	0:02:31.163717
19	1	1	0.9939982190557052	1	55.91061019897461	0.00025218725204467773	0.5948148148148148	0:02:31.428694
20	1	1	0.9939982190557052	1	55.91061019897461	4.506111145019531e-05	0.5629629629629629	0:02:31.466137
21	1	1	0.9939982190557052	1	61.134178161621094	1.2874603271484375e-05	0.62	0:02:31.435244
22	1	1	0.9939982190557052	1	49.81321334838867	5.632638931274414e-05	0.5696296296296296	0:02:31.336884
23	1	1	0.9939982190557052	1	69.4419174194336	1.8537044525146484e-05	0.6081481481481481	0:02:31.646208
24	1	1	0.9939982190557052	1	71.86811828613281	6.136298179626465e-05	0.5518518518518518	0:02:31.637920
25	1	1	0.9939982190557052	1	69.4419174194336	0.0	0.5607407407407408	0:02:31.474777
26	1	1	0.9939982190557052	1	61.134178161621094	1.9073486328125e-05	0.5829629629629629	0:02:31.507146
27	1	1	0.9939982190557052	1	74.48857879638672	4.506111145019531e-05	0.5681481481481481	0:02:31.445850
28	1	1	0.9939982190557052	1	63.04127502441406	1.9073486328125e-05	0.6148148148148148	0:02:31.328055
29	1	1	0.9939982190557052	1	41.907100677490234	0.00016736984252929688	0.5814814814814815	0:02:31.452638
30	1	1	0.9939982190557052	1	77.34676361083984	6.139278411865234e-05	0.5681481481481481	0:02:33.479381
